Company_name,Company_website,Rating_nr,Rating_recommend_to_friend,Number_of_reviews,Number_of_salaries,Number_of_interviews
 Booking.com ,www.workingatbooking.com,3.1, 58% recommended to a friend, 1.8k, 1.7k, 1.4k
 Philips ,www.philips.com,4.0, 78% recommended to a friend, 3.8k, 5.9k, 953
 Shell ,www.shell.com,3.9, 81% recommended to a friend, 3.9k, 3.7k, 1.4k
 Albert Heijn ,werk.ah.nl,3.7, 75% recommended to a friend, 310, 278, 39
 YoungCapital ,www.youngcapital.nl,4.3, 89% recommended to a friend, 280, 137, 25
 Delft University of Technology ,www.tudelft.nl,4.2, 90% recommended to a friend, 266, 363, 43
 KPN ,www.kpn.com,4.0, 83% recommended to a friend, 238, 418, 43
 ASML ,www.asml.com,4.0, 81% recommended to a friend, 490, 733, 233
 Accenture ,www.accenture.com,3.7, 75% recommended to a friend, 36k, 49k, 10k
 ABN AMRO ,www.abnamro.com,3.6, 63% recommended to a friend, 404, 599, 110
 Rabobank ,www.rabobank.com,3.7, 74% recommended to a friend, 397, 609, 76
 TomTom ,www.tomtom.com,3.5, 75% recommended to a friend, 402, 457, 126
 Capgemini ,www.capgemini.com,3.6, 74% recommended to a friend, 12k, 16k, 3.4k
 Unilever ,www.unilever.com,3.9, 83% recommended to a friend, 3.8k, 3.5k, 1.4k
 IBM ,www.ibm.com,3.6, 66% recommended to a friend, 40k, 64k, 7.4k
 TravelBird ,www.travelbird.com,4.0, 82% recommended to a friend, 164, 135, 48
 HEMA ,www.hema.nl,3.5, 67% recommended to a friend, 171, 84, 30
 Deloitte ,www.deloitte.com,3.8, 79% recommended to a friend, 25k, 65k, 9.5k
 TU/e ,www.tue.nl,4.4, 94% recommended to a friend, 157, 244, 31
 Coolblue ,www.coolblue.nl,4.1, 85% recommended to a friend, 159, 145, 75
 Cisco Systems ,www.cisco.com,4.0, 82% recommended to a friend, 15k, 22k, 3.2k
 Jumbo ,www.jumbo.com,3.9, 85% recommended to a friend, 149, 133, 25
 EY ,www.ey.com,3.7, 78% recommended to a friend, 19k, 30k, 7.2k
 Oracle ,www.oracle.com,3.4, 62% recommended to a friend, 19k, 32k, 4.0k
 NIKE ,jobs.nike.com,3.9, 79% recommended to a friend, 4.0k, 4.5k, 1.3k
